product_id,product_name,category,cost,price,sku
PROD-001,Eco-Cotton Unisex Hoodie,Apparel,31.66,50.95,APP-01-50
PROD-002,Casual Linen Button-Down,Apparel,17.06,28.99,APP-02-28
PROD-003,Tailored Chino Pants,Apparel,33.04,70.99,APP-03-70
PROD-004,Merino Wool Crewneck,Apparel,29.85,47.99,APP-04-47
PROD-005,High-Waist Denim Jeans,Apparel,16.09,30.99,APP-05-30
PROD-006,Waterproof Trail Jacket,Apparel,28.77,58.0,APP-06-58
PROD-007,Seamless Athletic Leggings,Apparel,28.16,49.0,APP-07-49
PROD-008,Classic Leather Belt,Apparel,18.29,38.99,APP-08-38
PROD-009,Bamboo Pajama Set,Apparel,33.83,60.99,APP-09-60
PROD-010,Activewear Running Shorts,Apparel,15.97,32.99,APP-10-32
PROD-011,Ribbed Knit Beanie,Apparel,11.43,18.95,APP-11-18
PROD-012,Canvas Everyday Tote Bag,Apparel,30.34,63.0,APP-12-63
PROD-013,Suede Chelsea Boots,Apparel,25.0,41.95,APP-13-41
PROD-014,Packable Puffer Vest,Apparel,10.92,19.0,APP-14-19
PROD-015,Organic Cotton Crew Socks (3-pack),Apparel,30.89,65.0,APP-15-65
PROD-016,Breathable Mesh Sneakers,Apparel,15.11,25.0,APP-16-25
PROD-017,Vintage Graphic Tee,Apparel,16.43,28.99,APP-17-28
PROD-018,Flowy Summer Sundress,Apparel,39.65,83.95,APP-18-83
PROD-019,Structured Office Blazer,Apparel,18.29,35.95,APP-19-35
PROD-020,Cozy Flannel Shirt,Apparel,14.02,25.0,APP-20-25
PROD-021,Premium Silk Scarf,Apparel,17.88,39.0,APP-21-39
PROD-022,Lightweight Windbreaker,Apparel,10.64,21.0,APP-22-21
PROD-023,Thermal Base Layer Set,Apparel,34.98,58.95,APP-23-58
PROD-024,Casual Slip-On Loafers,Apparel,17.99,39.0,APP-24-39
PROD-025,Fleece Quarter-Zip Pull,Apparel,28.61,57.99,APP-25-57
PROD-026,Wireless ANC Earbuds,Electronics Accessories,26.03,36.95,ELC-01-36
PROD-027,MagSafe Compatible Power Bank,Electronics Accessories,38.08,54.0,ELC-02-54
PROD-028,USB-C Multi-Port Hub,Electronics Accessories,71.35,109.0,ELC-03-109
PROD-029,Ergonomic Wireless Mouse,Electronics Accessories,44.95,79.0,ELC-04-79
PROD-030,Mechanical Gaming Keyboard,Electronics Accessories,42.12,62.99,ELC-05-62
PROD-031,Dual-Device Wireless Charger,Electronics Accessories,62.15,100.0,ELC-06-100
PROD-032,Premium Laptop Sleeve (14-inch),Electronics Accessories,50.92,89.95,ELC-07-89
PROD-033,Flexible Desk Tripod with Ring Light,Electronics Accessories,35.34,63.99,ELC-08-63
PROD-034,HD Webcam with Privacy Cover,Electronics Accessories,45.67,65.99,ELC-09-65
PROD-035,Noise-Isolating In-Ear Headphones,Electronics Accessories,70.28,102.99,ELC-10-102
PROD-036,Adjustable Tablet Stand,Electronics Accessories,65.45,102.99,ELC-11-102
PROD-037,Waterproof Portable Bluetooth Speaker,Electronics Accessories,36.93,60.95,ELC-12-60
PROD-038,Smart Fitness Tracker Band,Electronics Accessories,47.04,83.99,ELC-13-83
PROD-039,Anti-Blue Light Screen Protector,Electronics Accessories,57.62,83.0,ELC-14-83
PROD-040,Braided Nylon USB-C Cable (6ft),Electronics Accessories,62.56,106.95,ELC-15-106
PROD-041,Leather AirTag Keychain Case,Electronics Accessories,17.81,27.95,ELC-16-27
PROD-042,Hard Shell Travel Tech Organizer,Electronics Accessories,10.23,17.0,ELC-17-17
PROD-043,Universal Travel Plug Adapter,Electronics Accessories,28.44,45.99,ELC-18-45
PROD-044,RGB Desk Mouse Pad (Extra Large),Electronics Accessories,45.54,66.0,ELC-19-66
PROD-045,Wireless Presentation Clicker,Electronics Accessories,30.89,51.0,ELC-20-51
PROD-046,Car Vent Magnetic Phone Mount,Electronics Accessories,23.92,36.99,ELC-21-36
PROD-047,Clip-On Lapel Microphone,Electronics Accessories,47.76,82.0,ELC-22-82
PROD-048,Silicone Cable Organizer Straps,Electronics Accessories,74.29,121.95,ELC-23-121
PROD-049,Bluetooth Keyboard for Tablets,Electronics Accessories,11.36,19.95,ELC-24-19
PROD-050,Mini USB Desk Fan,Electronics Accessories,26.76,40.0,ELC-25-40
PROD-051,Ceramic Soy Scented Candle,Home Decor,57.08,105.95,DEC-01-105
